movie,sentence,score
메탈 로드,애들은 못보는 애들영화 ㅋㅋㅋ 메탈이 첨가된 스쿨오브락,8
서양골동양과자점 앤티크,마약 생각이 나요,1
건축학개론,"나도 1학년 풋내기 때 저렇게 불꽃같이 만나고 저렇게 허무하게 헤어졌다. 서로 좋아한 단 말도 제대로 못해보고. 그땐 그게 맞는 것인 줄 알았지. 사랑하는 사이가 아니면 가질 수 없는 수많은 시간들을 가졌는데도 그냥 그렇게 헤어졌어. 나보다 더  뒤 세대 이야기지만, 전람회 노래도 이미 직장인 때 나온 노래지만....내가 겪은 일과 너무나 닮은 이야기, 그래서 너무나 가슴 아픈 이야기. 그러나 그 어떤 것과도 바꿀 수 없는 소중한 이야기. 이 영화를 볼 때마다 가슴에 박힌 보석처럼 아프고 빛나네요 ",10
소울메이트,재주소년의 노래 &amp;lt;눈 오던 날&amp;gt;과 영화속 그림처럼 마음에 오래 여운이 남는 영화.,8
샤잠! 신들의 분노,"4DX SCREEN으로 관람했는데, 기대보다 재미있었습니다. CG도 괜찮았고 액션도 빠르고 통쾌했어요. 코믹하게 잘 봤어요~",8
스즈메의 문단속,"[ 지극히 개인적 평가입니다. ]이런거 진짜 안다는데 비추합니다. 원래부터 일본 애니매이션을 좋아하시는 분 아니면 그냥 다른거 보시는게 낫다고 봅니다. 클리셰 200프로, 신파200프로. 관객은 하나도 공감이 안되는데 주인공은 계속 제 감정에 벅차합니다. 그걸 보는 나는 갑갑합니다. 줄거리는 기대가 안되고, 뭔가 그림체로 감동을 주기에도 역부족입니다. 그렇다고 연기수준이 아주 높으냐? 그것도 저는 모르겠습니다. 상영시간 내내 몰입해서 보려고 노력해봤으나 그게 안돼서 더 고통스러웠습니다.   나오면서 화가난 영화.  비추합니다",1
스즈메의 문단속,명작이 계속 쏟아져 나오는 마코토!,8
올빼미,"초반은 지루, 중반은 졸잼, 후반은 쏘쏘",8
월스트리트: 분노의 복수,액션만 화려함,1
소울메이트,역시 김다미는 특별출연할때가 더욱 빛난다.마녀 파트2처럼...이태원 클라스,7
어떤 영웅,이란?여성의 신체 노출을 막겠답시고 여가수의 뮤직비디오나 음반 자켓에 나오는 여성의 사진까지 날리면(?)노스코리아의 동맹 그 나라가 아닌가?아니 날리면이 아니라 바이든인가?(웃음),8
샤잠! 신들의 분노,유쾌하게 재미남. 어른이 된 아이들이 주인공이다 보니 약간 유치한 부분이 있을수 있지만 그래도 재밌음요 ㅋ 나중에 블랙아담이 합류하게 되면 더 좋을거 같아요. ,10
소울메이트,무난한 리메이크,6
뜨거운 피,포스터나 이름이 경관의 피랑 매우흡사해요…,6
아임 히어로 더 파이널,"팬은 아니지만, 궁금해서 혼자 관람했는데요~ 노래 정말 좋더라구요. 스크린엑스로 관람했는데, 영상미도 정말 좋았구요! 함께 관람한 팬분들 상영관에 정말 많았습니다. 공연장 와있는줄 알았어요. 잘 봤어요!",10
테넷,이해하지말고 느끼라고? 뭘알아야 느끼지 너는 양자역학 설명하면 이해는 못해도 뭔가가 느껴짐? 놀란 영화 빠는애들 보면 꼭 현대미술전시회 백지그림 앞에서서 손으로 턱잡고 뭔가 심오하게 느끼는척 하는놈들같음,1
신의 한 수: 귀수편,졸작이구만 뭔 평점이 이리높냐? 알바쓰냐?,2
압꾸정,집에서 넷플로 아무 생각 없이 봤는데 나름 볼만하고만 악플 겁나 많네 ㅋㅋㅋ넷플에 며칠째 1위 하고 있는 이유도 있는거 아님? 잼없으면 순위에서 벌써 사라졌을텐데~,8
쏘우 2,반전에 치중하느라 조악함이 보이는,7
외계+인 1부,취향저격 2부 빨리보고싶당 잼있게봤고 편집도 좋고 나름 훌륭하다,10
소울메이트,"엄마,하은,미소,그림자, 모두 다정히 부를 수 있는 것들",8
소울메이트,김다미배우를 좋아해서 혼영하러갔는데 학생때와 어른일때의 연기변화가 정말 인상깊었습니다 현대사회를 잘반영한거같아 가슴이뭉클해졌구요 ,10
콜 제인,미국에서 임신중단이 불법이던 시절을 다룬 충격적인 실화인데 무겁고 진중한 주제에 비해 단순하게 접근한 연출이 아쉬움,6
연인,장쯔이가 이 영화에서 참 예뻤다. ,10
데시벨,어쩔수 없는 상황이었는데 이종석이 저러는 이유를 모르겠음. 공감안가는 스토리. 그래서 망한듯,5
그린랜드,결말이 조금 아쉽지만 심장 쫄깃!!,7
소울메이트,"영화를 보니 트위터서 회자된 말이 생각났다, 이성이라 사랑이라 믿었고, 동성이라 우정으로만 생각한 감정들",7
먹고 기도하고 사랑하라,나를 찾아 떠나는 여행. 각 나라를 함께 여행하는 기분. 사랑을 통해 더 큰 균형을 맞출 수 있다는걸 알려준 영화 ,9
스즈메의 문단속,피곤한 상태에서 봤는데도 진짜 졸리지가 않고 재밌었어요! 살짝 쫄리고(?) 긴장되는 느낌도 들었고ㅋㅋㅋ 그리고 확실히 영상미랑 노래가 좋네요ㅎㅎ (도입이랑 도쿄 장면 소름),10
먹고 기도하고 사랑하라,같이 건너가자!!! 이 한마디가 모두 설명함.,10
스즈메의 문단속,재밌게 잘봤습니다. 완전히 이해는 못했지만,10
스즈메의 문단속,"진짜 일본 애니영화가 안타깝다고 생각함 ..내가 너무 지나치게 일본 영화등 볼 때 마다 부정적 인식이 있는거 같아.? 왠지 지진이 많이 일어나는 원인에는? 다 이유가 있고 , 관광객 목적 식으로 제작 한 느낌이었고 ,? 여주가 호탕한 성격 보기보다 좋았지만 상황에 맞지 않는 행동들이 많았다고 생각함. . 그리고 일본인들은 착하다? 만나는 사람마다 친절 하다는거 강조하는 느낌이 어쩔수 없이 받음. (실제 일본가면 절대 남 쉽게 도와주지 않음.. 일본인들에 문화임 아는 분도 있을거임.. 실제 일본 3번 여행갈때도 그랬음) 그리고 아무런 대가 없이 건네는 다정이 아니라 호의를 베풀 만큼 일해야 한다는 것도 ...? 스토리가 결국 무엇을 의도했는지? 스토리 절반이 문 닫고 기차타고 차타고? 배경만? 감상했음?감상평 사운드 트랙 ☆☆☆☆ 스토리 ☆☆☆ 인물 ☆☆총평 : 별 3개 반",2
크리드 3,"가족과의 애틋한 모습에 울컥하고, 물러설 수 없는 두 파이터의 격돌이 백미! ",10
방법: 재차의,드라마부터 정주정하고가요 아무생각없이 재밌게 봤어요,9
소울메이트,서로의 존재를 ’부재‘라는 체로 걸렀을 때 남는 애틋함은 얼마나 직접적이고도 위태롭나. 우정과 사랑같은 단어로 딱 잘라지는 관계는 세상에 없다. 원작보다 부드럽고 푸릇함이 있다.,10
이니셰린의 밴시,친구 사이의 유치한 다툼 만큼이나 무의미한 상처를 입힌 아일랜드 내전을 뛰어난 알레고리로 풀어 낸다,10
다이 하드,오늘날의 슈퍼히어로 영화들보다도 훨씬 낫다,9
비스트,평점을 남길 가치도 없는 영화. 그럼에도 혹시 모를 이들의 시간을 아끼기 위해 나의 시간을 희생하면서까지 글을 남긴다… 보지마라 킬링 타임이 아니라 인생 낭비가 될것이다. 진짜 마지막에 선택한 최선의 방법이라는게 사자랑 1:1 맞다이 뜨는거라니 하… 어떻게 이딴 영화를 만들 생각을 했는지 영화사 제작사 스텝들 더 나아가서는 배우들까지 아무리 생각해도 이해가 안간다.,1
주(咒),"공포영화 특유의 쫄깃한 긴장감을 만들어주는 데는 성공적인 영화. 반면, 공포 요소가 인간/귀신/악신 뭐 하나에도 중심을 잡지 못하고 그냥 마구 섞어 만든 점이나 납득가지 않는 행동 등 떨어지는 개연성 및 시간대 전환 구성이 매끄럽지 못해 몰입도가 떨어진다는 점 등이 아쉬움",5
스즈메의 문단속,하늘과 물의 표현이 특히 마음에 들었다. 상당히 아름다운 시간이였다.,10
소울메이트,"원작대로 스토리 잘 풀어내서 좋았음 근데 제주풍경 때문인지, 2000년대를 추억하게 하는 연출 때문인지 몰라도 딴 영화같았음 여주 둘의 연기가 다 하지 않았나 싶다 시간이 흐르면서 미묘하게 달라진 눈빛들이 자꾸 울컥하게 함",10
살수,아쉽네요 좀더 잘다듬으면 잘될 영화 될것같은데..,6
아임 히어로 더 파이널,즐거운 공연이었어요,8
서치 2,주인공 연령이 낮아지니 전편보다 확실히 빠른 전개로 지루할 틈이 없었다. 최근 본 영화중에 제일 볼만했음.,8
더 퍼스트 슬램덩크,와.. 그냥 말에 필요 없고요.. 네.. 사랑해요,10
스즈메의 문단속,여태까지 본 영화중에 거의 가장 재미있었습니다. 영화가 끝나고도 여운이 계속 남아 한참 동안 멍때리고 있었어요 ㅎㅎ 정말 스토리가 너무 재미있고 신비로워요. ,10
천장지구,"유덕화 넘 멋있고, 마지막 달리고 달릴때 OST는 최고다. 몇번을봐도 첨부터 끝까지 한장면도 지루한곳이 없다. 유덕화 눈빛과 외모에 넋을 잃고 보게된다",10
소울메이트,슬픈 장면이 없는데 왜 내 눈에서 눈물..? 그냥 영화를 보면 눈물이 흐른다,10
스즈메의 문단속,정말 세세한 연출과 음악의 느낌들이 장면과 이야기들이 느낌있게 다가오고 폐허에서의 기억들이 들려오는 포인트도 감동이네요 ~,10
극장판 검정고무신 : 즐거운 나의 집,무슨 허락도 안받고 만드냐 이 쓰레기영화 줘도 안봄 이우영 작가님 심정은 생각 안하시나,1
대외비,흠~ 이렇게 끝나는게 현실이 이렇다고 보여줄라고 그런건가,6
대외비,뻔한스토리에 배우들의 연기때문에 그나마 살은영화,6
샤잠!,애들용 치고는 너무 성인 클럽 나오고 자극적이며 슈퍼 빌런이 자기 가족을 잔인하게 죽여대서 이것 저것도 아닌 애매한 영화 ,4
독전,명작은 아닌데 세 번 보게 됨 지루하지 않고 볼만함,8
스즈메의 문단속,초반에는 웃으면서 감상했으나 후반에는 감동적인 대사들과 연출로 인해 눈물을 참지 못하였습니다,9
두다다쿵: 후후섬의 비밀,아이들이 좋아해요^^,10
폴: 600미터,무뚝뚝한 내가 영화를 보다가 비명을 질렀기 때문에 10점을 안 줄 수 없습니다. ,10
TAR 타르,불필요한 대사는 없었고 모든 행위와 소품 연출 대사가 완벽하고 섬세하게 짜여진 영화이다. 한가지 행동에 얽힌 심리를 한 사람의 연기로 표현해내었다는 것이 정말 감동이다. 그 때문에 연기를 그리며 대본에 적었을 감독의 주석이 궁금하다.이 영화는 클래식 음악 영화도 아니고 클래식 업계의 지휘자 이야기도 아닌 그냥 모두가 가진 모순과 치유의 이야기를 타르라는 인물로 대변하여 관객에게 말한다. 우리는 타르를 비난할 만큼 자신을 비워내고 하나가 됐는가. 신의 개입과 영혼 치유를 주장하는 불완전한 인간이 동일한 인간에 대해 판단하는 모순을 말하는 지극히 현실적인 스크린 밖의 너와 나에 대해 말하는 영화라고 생각한다.,10
앤트맨과 와스프: 퀀텀매니아,마블 마블 마블...이젠 정말 가나?,5
타짜: 원 아이드 잭,와 최유화 연기;; 표정 모두 몰입방해나오는 영화마다 민폐인듯 데뷔 영화인줄 알았어요,8
스즈메의 문단속,호불호갈리긴해요 4명이서 보고2명이 좋아했어요 전 너무 재밌었어요..,10
플레인,뻔하지만 뻔해서 좋은 영화,7
샤잠! 신들의 분노,핵노잼 샤잠온다..ZZZ,1
대외비,아쉬움이 있지만 그래도 연기가 모두 훌륭해서 추천,8
압꾸정,와...결말뭐냐..원작 말아먹은 한국드라마같네,2
스즈메의 문단속,개연성이 아쉽다는 사람들이 많은데 유튜브로 설명 한번만 보면 모든 퍼즐이 짜 맞춰지는걸 알 수 있습니다. 상당히 재미있으니까 고민 말고 보세요!,10
스즈메의 문단속,재미있다기엔 아쉽지만 애니 팬들은 그림만으로도 즐거울듯,6
아임 히어로 더 파이널,"생생한 영상미, 탄탄한구성, 마음을 울리는 감동과 가창력이 돋보이는 영화입니다.",10
소울메이트,풋풋한 청춘의 아름답고 아린 이야기   뻔하지만 볼 만함,7
다만 악에서 구하소서,황정민은 칼에 수차례 찔려도 죽지를 않고 전력질주로 차를 따라잡고... 트렌스젠더는 쌩판 본적도 없는 애 구한다고 갱단에 들어가질않나... 수류탄 파편은 애가 갇혀있던 트렁크 가방도 뚫지를 못하네.. 중국산인가 . 시간아깝다,2
아마겟돈 타임,영화가 백인 소년 시점이라 와닿지 않는다,6
라붐,지나고 보면 그냥 웃음만 짓게 되는 꿈결 같은 이야기,8
극장판 검정고무신 : 즐거운 나의 집,진짜화나고 슬프다. 이거 만든 제작사 당신들도 검정고무신에 추억이 있었을 거 아니냐. 그런 추억을 준 원작자의 인생을 파괴하면서까지 추악하게 돈을 벌고싶었냐. 그 결과 검정고무신을 사랑하던 많은 이들의 추억마저 얼룩지게 되었다.,1
압꾸정,처음리뷰해봄. 그냥 한국 코믹 영화 시시해도 그러려니 하는데. 이건 최악중에 악이다. 이렇게 만들고도 개봉을 할수가 있구나. 대단하다 진짜,1
스즈메의 문단속,누드씬 있음 강추. 누드씬 있음 강추.   누드씬 있음 강추.   누드씬 있음 강추.   ,10
소울메이트,"1998년, 처음 만났다. 2004년, 첫사랑이 생겼다. 2010년, 각자 어른이 되어간다. 2014년, 흔적을 따라간다.",10
대외비,죄송해요... 근데 너무 뻔하고 쓸데없이 폭력적인 영화였습니다.,1
똑똑똑,탁월한 연출력이 있지만 알맹이가 없는...?,6
샤잠! 신들의 분노,"돈 많이 처바른 파워레인저라고 생각하면 편하다. 정신연령을 한껏 낮춘 채 보면 청소년 드라마스런 가벼운 유머들이 나름의 즐거움을 주는 영화다. 마블의 &amp;#39;닥터스트레인저&amp;#39;에서나 볼 법한 공간 조작, 해체, 재배열 장면들의 CG가 상당히 멋졌고 나무비늘로 뒤덮인 드래곤도 꽤나 위압감을 주었다. 온갖 잡귀들의 모습들도 그럴싸했고. 게다가 4DX와 SCREENX의 효과에 상당히 공을 들여 놓아서 4DXSCREEN관에서의 즐길거리도 대단했다. 예전 원더우먼2 때도 그렇고 DC 영화들이 SCREENX와의 궁합이 상당히 좋은 것 같다. 짜투리 영상을 남들보다 협조적으로 제공하는지 뒷사정은 모르겠지만.",7
소울메이트,이런 친구 한 명 사귀고싶다.,10
더 메뉴,남는 건 치즈버거다,6
앤트맨과 와스프: 퀀텀매니아,재밌게봤지만 아쉬운부분도 커요,10
소울메이트,두 주인공과 인생을 같이 살아가는 느낌이였어요..연기가 너무 좋아서 감정이입도 잘됐고 무엇보다 두 친구의 뗄래아 뗄수없는 아름다운 사이가 너무 좋으면서 불안했어요…후반으로 갈수록 정말 마음이 너무 먹먹하더라구요…,10
대외비,흥미진진하면서 스릴넘치는 영화,10
샤잠! 신들의 분노,이제 마블이고 DC고 &amp;#39;히어로&amp;#39;장르 영화의 유행은 끝난 것 같다.,3
스즈메의 문단속,영상미와 판타지는 아름답다,7
TAR 타르,케이트 블란쳇의 연기 말고는 영화가 평범했다,6
에브리씽 에브리웨어 올 앳 원스+,"최근 본 영화 중, 아니 지금껏 본 영화 중에서도 손꼽힐 만큼 재미있게 봤어요ㅠㅠ 저도 다른 부분보다 돌멩이 나올 때 울었는데 다른 분 감상평 보니 같은 사람이 있네요. 갑자기 모든 사운드가 사라지고 글을 읽는데 눈물이 흐르더라구요.. 완성도 높은 작품인 것 같아요",9
타이타닉,봐도봐도 재밌고 긴 영화임에도 시간가는 줄 모르고 보게 된다 여러 감정이 교차되는 명작,10
에브리씽 에브리웨어 올 앳 원스+,영화관에서 두 번 봤어요..!!,10
소울메이트,김다미와 전소니의 연기케미가 탄탄하다,8
이마 베프,장만옥이 남았다 그거면 됐다,6
스즈메의 문단속,애니지만 진짜 잘 만듦,9
스즈메의 문단속,개연성이 많이 아쉬웠다,6
스즈메의 문단속,호불호 많이 갈린다 해서 걱정했는데 작화는 물론이고 OST가 개쩔어요 영화보면서 이렇게까지 울어본 적은 처음입니다... 개인적으로 너의 이름은만큼 좋았어요!영화관에서 무조건 보시길 추천합니다.저는 4dX나오면 한번 더 보려고 합니다!,10
올빼미,제목 정말 잘 지었다 특정장면 연출이 기억에 남는다,7
맨 오브 오너,나쁘지않음. 재미씀. 재밋다기 보다는 아마 무기력한 인간들이 보면 작게나마 변했으연 하는 진실한  무비..흑형남주의 엄청난 집중력. ,8
금의위: 14검의 비밀,코미디 영화쥬?ㅋㅋㅋㅋ웃겨서 6점!!,6
이니셰린의 밴시,이상한 사람들의 이상한 우정.,7
압꾸정,진짜 이런 역대급 쓰레기영화는 처음본다 영화라고 표현하기도 아깝다 그냥 개쓰레기다 진짜 와 정경호 갠적으로 팬인데 작품고르는 수준이 이렇게 낮다니 뇌가 있다면 이런건 안골라야지 ..,1
스즈메의 문단속,추임새가 너무 많음대화보다 추임새가 더 많은듯,4
아바타: 물의 길,ost랑 스토리 아쉽다.. 3를 위한 발판이라 생각하면 넘길 수 있는 아쉬움.. 영상미는 명불허전 극장에서 봐야한다,8
스즈메의 문단속,영상미는 전작에서 지속적으로 보여줬던대로 정말 끝내주게 아름다웠습니다. 다만 너의 이름은을 10번 가까이 봤던 사람으로써ㅜ 이번건 많이 실망이네요...ㅜ 전반적으로 너의 이름은을 그대로 갖다붙인듯한 연출...띠용스러운 개연성... 너의 이름은이 너무 히트쳐서 그걸 넘어서는 상상력은 없었던걸까 싶었음ㅠ ,4
카피캣,"나름 긴장감은 유지하고 있지만, 영화의 제목처럼 훨씬 더 잘 만든 스릴러의 모방 영화처럼 보인다.",5
루터: 태양의 몰락,다른 모든 걸 떠나서 개연성 어디감? 꾸역꾸역 참으면서 보다가 1시간 무렵에 모든 설정이 붕괴 되는 개판 개연성을 보고 그냥 10초씩 건너 뛰기 했다. 그리고 이거 일부러 흑인+여성 은 민폐 덩어리다를 말하려고 혐오주의자가 만든 영화임? 무려 넷플에서? 여기 등장 하는 무게감 있는 조연 흑인여성은ㅋㅋㅋㅋ 아니다 말을 말자. 혹여나 당신이 의사에게부터 살 날이 며칠 남지 않았다는 소리를 들었다면 절대 이 영화를 시청하지 마세요. 단 1초라도 이 영화 본다면 당신은 죽는 순간 그 1초를 가장 후회 할 겁니다. 하느님이 오늘밤 저에게 찾아와 한가지 소원을 빌라고 하며 저는 지체없이 ‘이거 안 본 눈 삽니다’ 라고 할 것 입니다. ,1
더 퍼스트 슬램덩크,"시리즈를 잘 모르는 관객들에게 잦은 플래시백은 극의 진행을 더디게 하지만, 예상외로 박진감 넘치는 농구 경기와 각각의 캐릭터들에게 개성과 드라마를 만든 것은 영화를 만족스럽게 해준다.",7
소울메이트,영상미가 좋았습니다 연기도 좋고 재밌어요,10
샤잠! 신들의 분노,샤잠샤잠샤잠샤잠샤잠,5
원더 우먼,예전 린다카터가 맡았던 원더우먼(미드)  훨  재미있다 ㅎ 영화는 별로다,6
애덤 프로젝트,특별한거 없는 판타지. 처음에는 도입부는 확 끌어당기는 내용이라 재밋었는데 3분의 1지점 거기까지만 볼만하고 그 뒤는 지루함 하품나옴 다봣는데 기억안남 ㅠㅠ,7
스즈메의 문단속,재밌어요,8
압꾸정,"너무 좋은 연기라인,, 연기가 고급이지만 너무 저렴해 보이는 영상미와 스토리 라인..무슨 약점 잡혀서 연기하게 됐나 싶은 저렴한 스토리에 참.. 2022년이 아니라 2002년 영화인줄 앎",4
서치 2,딱 집중시킨 다음 영화관 나설 때는 적당히 기분 좋아지는 영화,7
리플레이,"전형적인 로드 트립 형식인데, 아름다운 음악과 서로에게 의지와 치유를 한다는 내용은 만족스럽다.",6
소울메이트,님들 피같은 돈 아껴서 그냥 맛있는 거 사먹으세요.,4
루터: 태양의 몰락,어디서 많이 본듯한… 식상하네요 뭐 킬링타임용으로 나쁘진 않습니다. ,7
몰리스 게임,디즈니카지노가 이거 비스무리하게 카피한건가? ㅎ 머 걍 그냥그랫음. 도박비중이 없는 도박영화. 도신이 훨씬 재미따,6
캔디맨,기대보단 덜하지만.. 본 뒤 관련 정보를 찾아보시면 좋습니다,6
타이타닉,영화관에서 처음 보길 정말 잘했다 역시 명작은 다 이유가 있구나…,10
엔칸토: 마법의 세계,음악이 좋았고 영상미덕에 화면 보는 재미도 있었음,6
소울메이트,중반 이후부터 넌 나고 난 너야 이렇게 계속 말하는것 같았다…배우들 연기 너무 좋았고 개인적으로 계속 생각하게 만들어주는 영화가 좋은영화라고 생각하는데 내 기준엔 좋은 영화였다.,9
스즈메의 문단속,뒤로 갈수록 별로였고 반복되는 패턴이 지루함을 더했다..,5
스마트폰을 떨어뜨렸을 뿐인데,원작은 안봤는데 한국꺼는 진짜 너무 재미없도 신파에다가 말도안되는 억지스러움의 끝이엿다  이딴 쓰레기 영화는 도대체 왜만들고 배우들은 왜 고르는거야? 배우가 뇌가 없나?,1
미니언즈2,유치하지만 미니언은 귀여우니까,8
에브리씽 에브리웨어 올 앳 원스+,모두에게 다정하자 친절하자 사랑하자,8
콜 제인,"12,000명의 여성을 구한 실화, 세상을 바꾼 위대한 공조. 1968년 시카고. 임신으로 목숨이 위험해진 조이는 긴급 임신 중절 수술 위원회에 참석하지만 남성으로만 구성된 그곳에서 임신 당사자인 조이의 의사는 무시된다.",10
알라딘,인생영화.. ost도 한 장면도 놓치면 안됩니다,10
탑건: 매버릭,아주 잘 만든 상업영화 극장에서 봐야만 한다,8
소울메이트,나의 소울메이트가 생각나는 영화. 보면서 운 영화는 정말 오랜만이다. 분명 이게 뭐지? 싶은 장면들도 있었던 것 같은데… 그냥 좋아.,10
휴고,"어렸을 때 정말 좋아한 영화였는데, 다시 보니 감회가 새롭다. 모든 장면이 아름다운 명작!",10
플레인,비행기 날자... 비행기 떨어진다...,5
앤트맨과 와스프: 퀀텀매니아,이제 마블은 보내줘야하는가,4
더 퍼스트 슬램덩크,숨 죽이고 보게 됐어요!,8
상견니,드라마 팬들에게 선물 같은 영화 아쉬운 점들도 많았지만… 등장인물들을 다시 한번 봤다는 거에 만족,7
스즈메의 문단속,오늘 순대 먹엇는데 미미즈 같앳어요,10
스즈메의 문단속,영화 보는 내내 지루했습니다,1
소울메이트,"볼 만했어요. 연기, 연출 나쁘지 않았습니다. 다만 원작을 이미 봐서 그랬는지 큰 재미는 못 느꼈어요. ",6
스즈메의 문단속,연출이나 영상미는 좋았지만 스토리는 뻔한 느낌이였음,7
스즈메의 문단속,그냥 마음 편하게 재미있게 볼 수 있는 영화라고 생각해요 너무 생각이 많을수록 오히려 머리가 복잡해지지 않나 싶어요,8
스즈메의 문단속,"신카이 마코토 감독 정말 팬이라 너무 기대를 많이 했는지 조금은 실망스러웠습니다. 영상미는 정말 최고입니다. 하지만, 개연성이 이전작들에 비해서 많이 부족하다고 느꼈습니다. (특히 러브라인.) 다음엔 더 좋은 작품을 만나볼 수 있으면 좋겠네요.",8
스즈메의 문단속,재밌게 잘 봤습니다~ 간단한 이야기인데 러닝타임은 꽤 되네요.근데 지루하진 않아요,9
플레인,액션씬은 매우 흥미로웠으며 긴장감이 미쳤음. 초반에 흐름은 그닥...,7
소울메이트,시험 끝나면 각잡고 다시 봐야지,8
똑똑똑,그럭저럭,6
카운트,의미 있는 일을 해! 무겁지 않고 따수운 영화~ 영화에 나온 모든 인물을 응원하게 된다 적절한 유머코드도 재밌음,10
샤잠!,"솔로몬의 지혜, 헤라클레스의 힘, 아틀라스의 체력, 제우스의 권능, 아킬레스의 용기, 머큐리의 스피드까지 우연히 슈퍼 파워를 얻게 된 소년. 자신의 능력을 깨닫고 악당을 물리치는 슈퍼 히어로로 다시 태어난다!",10
스즈메의 문단속,소타상 소타상 소타상 소타상 소타상,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",일본 특유의 감성이 돋보여서 좋다,10
비스트,처음부터 끝까지 매순간 순간이 말도 안되서 어이가 없다. 감독이 무슨 생각을 하고 찍었을까.,1
데시벨,이종석 굿 연기좋았어요,6
이니셰린의 밴시,손가락이 날아갔다. 잠기운이 날아갔다. 메시지도 날아갔다.,4
영웅,울엇습니다 나라를 지켜준 독립투사들 너무 감사합니다,10
더 퍼스트 슬램덩크,처음 볼 때는 누가 누구지 뭐지 허둥지둥 재밌었다! 했는데 원작을 알고 보니까 다섯 명 스케치부터 감동적이다,10
플레인,킬링타임용으로 볼만해요,6
영웅,감동 받았습니다.역사 잊지않겠습니다.감사합니다.0,10
앤트맨과 와스프: 퀀텀매니아,누느주ㅠㅋ,7
스즈메의 문단속,대박입니다 그냥 보세요,10
스즈메의 문단속,어린 시절 향수를 따라간 곳에는 어린 시절의 내가 있었다.,10
에브리씽 에브리웨어 올 앳 원스+,멀티버스는 이렇게 하는거다,10
플레인,그냥 최고입니다. 무조건 보세요,10
플레인,제라드버틀러는 액션씬 거의 없음 ㅋㅋ 특수군인들만 액션함...개지루...B급,5
스즈메의 문단속,자기가 싼똥 자기가 치운다는,5
다음 소희,"“들었으면서.,,”",10
사랑은 비를 타고,빗 속에서 춤 추게 만드는,9
스즈메의 문단속,스즈메 감정선과 행동이 이해안가는게 많았음 차라리 소타보다 엄마의 유품인 의자에 더 몰입했거나 요석뽑은걸로 죄책감이나 책임감을 느낀게 더 감정선이 이해가 잘됐을것 같다 뿐만아니라 전체적으로 개연성과 설명이 많이 부족하고 감독 전작들을 비롯해 좀 어디서 본것 같은것들이 많이 나왔다 그럼에도 영상미+ ost는 잘뽑음 ,6
에브리씽 에브리웨어 올 앳 원스,중반부까지는 뭔 이런 영화가 다 있지 했는데 후반부로 갈 수록 고조되는 감정선과 분위기가 정말 명품이었습니다,10
라스트 나잇 인 소호,극장에서 이런 장르를 보면 더 쫄리기 마련인데 너무 지루했다. 뒤로 갈수록 장면의 반복이라 이거 언제 끝나나 하는 생각 뿐. 앤야 테일러 조이는 빛났으나 스토리가 부실하다.,6
리틀 포레스트,재밌게 보았어요 ㅎㅎ 엄마도 좋아하심,10
스즈메의 문단속,여운 남아서 아직도 ost 듣는중,10
소울메이트,청춘들의 이야기가 마음아프고 와닿았음빛을 잘써서 영상미가 좋았음,10
앤트맨과 와스프: 퀀텀매니아,와칸다 포에버가 예상보다 잘 만들렀음. 날아다니는 슈트빼고. 이번 엔트맨 시리즈 영화는 캉 때문에 기댜했지만 캉 그닥 별루. 타노스보다 약해보임 . 머리 큰 악당에 새다리 캐릭터 나오는거 보고 완전 실망 ㅠ.,5
이상한 나라의 수학자,스토리가 아쉽지만 수학을 소재로 따뜻함을 표현한 점이 신선했다,6
압꾸정,넷플로 봐도 화남 ....ㅋ,2
연애 빠진 로맨스,소재를 다루는 방식에 있어서 여성 감독이 완급 조절을 잘 해냈다고 생각함 감정선도 큰 무리수 안 두고 괜찮았다,7
소울메이트,"이건 사랑이야. 이건 틀림없이 사랑이고 그런 너를, 미소는 잊지 않을 거야. ",10
스즈메의 문단속,너의 이름은을 뛰어넘는 작품은 아니지만 저는 만족했습니다. 돈이 아깝진 않았어요. 그리고 원래 잘우는편이긴한데.. 마지막 쯤에 펑펑 울었어요..,10
데시벨,"연기는 더할나위 없으나 연출이나 스토리는 부족합니다. 이종석의 분노를 더 잘 표현 시켰어야.. 데시벨의 이름값좀 할수 있게 관련 폭탄을 만들게 된 이유와 목적이 더 잘 들어나는 스토리 라인을 만들었다면 그렇게 흡인력 있게 가봤으면 어땠을까, 잔인 하긴 하겠지만 구조 장면과 마지막에 전우를 위해 바쳤을 목숨들을 더 타이트하게 표현 되었음 어땠을까 하는 아쉬움이 많이 남는 영화 였습니다.  그래도 잘보았습니다 ",8
더 퍼스트 슬램덩크,이게 무슨 만화고 농구야 인생이지.. ,10
레벤느망,지극히 현실적이고 안타까운 임신,7
